subject,count
"Vietnam War, 1961-1975--Protest movements--New South Wales--Sydney",58
Demonstrations--New South Wales--Sydney.,55
Photography--New South Wales--Sydney--20th century.,49
Anti-war demonstrations--New South Wales--Sydney.,35
Antinuclear movement--Australia.,25
Meetings--New South Wales.,23
May Day (Labor holiday)--New South Wales.,21
Demonstrations--Northern Territory--Pine Gap,12
Adult Females,12
Demonstrations--New South Wales--Sydney--Pictorial works,11
Aboriginal Australians--Civil rights.,11
Antinuclear movement--Northern Territory--Pine Gap,11
Aboriginal Australians--Land tenure.,10
Adult Males,10
Labor unions--New South Wales--Sydney.,9
Peace movements--Australia.,8
Anti-war demonstrations--Australia.,8
"Portraits, Australian--20th century.",7
Australia--Race relations.,7
Women's rights--New South Wales.,7
Aboriginal Australians--Mortality.,7
Labor unions--Australia--Officials and employees.,6
"Vietnam War, 1961-1975--Protest movements--Australia.",5
Labor movement.,5
Nurses--New South Wales--Sydney.,5
Nuclear disarmament--Australia.,5
Demonstrations--New South Wales.,5
Labor unions--New South Wales.,5
Aboriginal Australians--Criminal justice system.,5
Women's health services--New South Wales--Sydney.,4
Women's rights--Australia.,4
Wages--New South Wales.,4
Transport workers--Labor unions--New South Wales.,4
Demonstrations--Australian Capital Territory--Canberra.,4
Trade-Unions--New South Wales.,4
Student movements--New South Wales.,3
"Vietnam War, 1961-1975--Draft resisters--New South Wales--Sydney",3
Circus--Australia.,3
Civil rights--New South Wales.,3
Prices--New South Wales.,3
Trade shows--New South Wales--Sydney.,3
Australian Council of Trade Unions--Congresses.,3
Protest movements--New South Wales--Sydney.,3
Floods--New South Wales--North Coast.,2
"Dance, Aboriginal Australian.",2
Gay liberation movement--Australia.,2
Construction workers--New South Wales--Sydney,2
Festivals--New South Wales--Sydney.,2
Labor unions -- New South Wales -- Officials and employees.,2
Factories--New South Wales.,2
Demonstrations--Australia.,2
Pageants--New South Wales.,2
Photography--Russia--20th century.,2
"Portraits, Group.",2
Teachers--New South Wales--Political activity.,2
Railroads--New South Wales--Sydney.,2
Sydney Opera House--Design and construction.,2
Soccer--New South Wales--Sydney.,2
Anti-war demonstrations--New South Wales,2
Trade-unions--New South Wales--Officials and employees.,2
Anthropologists--Australia.,1
Aboriginal Australians--New South Wales--Nambucca Heads.,1
Aboriginal Australians.,1
Aboriginal Australians--Australia--Pictorial works.,1
Anti-apartheid movements--Australia.,1
Anti-fascist movements--Australia.,1
Courts--New South Wales--Sydney.,1
Cotton machinery--New South Wales,1
Cotton growing--New South Wales,1
Boxing--Australia.,1
Architects and builders--New South Wales--Sydney.,1
Antinuclear movement.,1
Aboriginal Australians--New South Wales.,1
Construction workers--Labor unions--New South Wales.,1
Conscientious objectors--New South Wales.,1
"Authors, Australian--20th century.",1
Communists--Australia.,1
College students--New South Wales--Sydney--Political activity.,1
Ballet companies - Australia.,1
Boiler-makers--Labor unions--Australia.,1
Bus drivers--New South Wales,1
Boiler-makers--Labor unions--New South Wales--Sydney.,1
Break dancing--Australia.,1
Bookstores--New South Wales--Sydney.,1
Boycotts,1
Aboriginal Australians--New South Wales--Walgett.,1
athletes,1
Equal pay for equal work--Australia.,1
Gay rights--New South Wales.,1
Sheep ranches--New South Wales.,1
Ships--Maintenance and repair.,1
Socialists--New South Wales--Sydney.,1
Soldiers--New South Wales.,1
Sports--Australia.,1
Strikes and lockouts--Australia.,1
Student movements--New South Wales--Sydney.,1
Sydney Harbour (N.S.W.)--Pictorial works.,1
Sydney Harbour (N.S.W.).,1
Tennis--Australia.,1
Theaters--New South Wales--Sydney.,1
Toymakers,1
Trade-unions--Shipbuilding industry employees--New South Wales.,1
Universities and colleges--New South Wales--Sydney.,1
"Vietnam War, 1961-1975",1
"Vietnam War, 1961-1975--Mass media and the war",1
"Vietnam War, 1961-1975--Pamphlets",1
"Vietnam War, 1961-1975--Protest movements--Victoria.",1
Vietnamese--Australia,1
Women musicians--Australia.,1
Women's rights--Pictorial works.,1
Schools--New South Wales.,1
Schools--New South Wales--Sydney.,1
Running races--New South Wales--Sydney,1
Labor unions--Officials and employees.,1
Greeks--New South Wales--Sydney.,1
Hospitals--New South Wales.,1
Hotels--New South Wales--Watsons Bay.,1
Housing--New South Wales--Sydney.,1
International Women's Day--New South Wales--Sydney.,1
Labor movement--New South Wales.,1
Labor unions--Australia.,1
Labor unions--Congresses.,1
"Women, Aboriginal Australian.",1
Land tenure--Australia.,1
Public housing--New South Wales.,1
Miners--Australia.,1
Musicians--20th century.,1
Newcastle (N.S.W.)--Pictorial works.,1
Nuclear disarmament--Congresses.,1
Old age pensions--Australia.,1
Photography--Negatives,1
Poetry--20th century.,1
Political parties--Australia.,1
Politicians--Australia.,1
Aboriginal Australians--Anniversaries.,1
